time,ssh,system,containers
1714560414,91.96484,24.86328,100.11719
1714560415,91.96484,24.86328,100.11719
1714560416,91.96484,24.86328,100.11719
1714560417,91.96484,24.86328,100.11719
1714560418,92.00781,24.86328,100.11719
1714560419,92.00781,24.86328,100.11719
1714560420,92.51953,24.86328,100.11719
1714560421,95.65234,24.86328,100.11719
1714560422,132.92578,24.86328,100.11719
1714560423,144.00781,24.86328,100.11719
1714560424,155.71484,24.86328,100.11719
1714560425,158.87891,24.86328,100.11719
1714560426,165.10547,24.86328,100.11719
1714560427,167.64062,24.86328,100.11719
1714560428,169.5898,29.41016,119.90625
1714560429,170.9805,29.41016,119.90625
1714560430,171.2305,29.41016,123.63672
1714560431,171.5273,103.74219,124.23438
1714560432,172.7422,42.26172,124.52344
1714560433,173.1562,42.26172,124.52344
1714560434,174.1992,42.26172,124.52344
1714560435,174.4375,35.34375,124.52344
1714560436,175.1289,35.34375,124.52344
1714560437,175.1289,35.34375,124.52344
1714560438,175.1289,35.34375,124.52344
1714560439,175.1289,35.34375,124.52344
1714560440,175.332,35.34375,124.52344
1714560441,174.0664,35.34375,124.52344
1714560442,174.0664,35.34375,124.52344
1714560443,174.0664,35.34375,124.52344
1714560444,174.0664,35.34375,124.52344
1714560445,174.0664,35.34375,124.52344
1714560446,174.0664,35.34375,124.52344
1714560447,174.0664,35.34375,124.52344
1714560448,174.0664,35.34375,124.52344
1714560449,174.0664,35.34375,124.52344
1714560450,174.0664,35.34375,124.52344
1714560451,174.0664,35.34375,124.52344
1714560452,174.0664,35.34375,124.52344
1714560453,174.0664,35.34375,124.52344
1714560454,174.0977,35.34375,124.52344
1714560455,174.0977,35.34375,124.52344
1714560456,174.0977,35.34375,124.52344
1714560457,174.0977,35.34375,124.52344
1714560458,174.0977,35.34375,124.52344
1714560459,174.0977,35.34375,124.52344
1714560460,174.0977,35.34375,124.52344
1714560461,174.0977,35.45703,124.52344
1714560462,174.0977,35.45703,124.52344
1714560463,174.0977,35.45703,124.52344
1714560464,174.0977,35.45703,124.52344
1714560465,174.0977,35.45703,124.52344
1714560466,174.0977,35.45703,124.52344
1714560467,174.2148,35.45703,124.52344
1714560468,174.2148,35.45703,124.52344
1714560469,174.2148,35.45703,124.52344
1714560470,174.2148,35.45703,124.52344
1714560471,174.2148,35.45703,124.52344
1714560472,174.2148,35.45703,124.52344
1714560473,174.2148,35.45703,124.52344
1714560474,174.2148,35.45703,124.52344
1714560475,174.2148,35.45703,124.52344
1714560476,174.2148,35.45703,124.52344
1714560477,173.4883,35.45703,124.52344
1714560478,173.4883,35.45703,124.52344
1714560479,173.4883,35.45703,124.52344
1714560480,173.4883,35.45703,124.52344
1714560481,173.8398,35.45703,124.52344
1714560482,174.2617,35.45703,124.52344
1714560483,174.2617,35.45703,124.52344
1714560484,174.2617,35.45703,124.52344
1714560485,174.2617,35.45703,124.52344
1714560486,174.293,35.45703,124.52344
1714560487,174.293,35.45703,124.52344
1714560488,174.293,35.45703,124.52344
1714560489,174.293,35.45703,124.52344
1714560490,174.293,35.45703,124.52344
1714560491,174.4883,35.44141,124.52344
1714560492,174.4883,35.44141,124.52344
1714560493,174.4883,35.44141,124.52344
1714560494,174.4883,35.44141,124.52344
1714560495,174.4883,35.44141,124.52344
1714560496,174.4883,44.83984,124.78125
1714560497,174.4883,37.50781,124.78125
1714560498,174.4883,37.50781,124.78125
1714560499,174.4883,37.50781,124.78125
1714560500,174.4883,37.50781,124.78125
1714560501,174.4883,37.50781,124.78125
1714560502,174.4922,37.50781,124.78125
1714560503,174.4922,37.50781,124.78125
1714560504,174.4922,37.50781,124.78125
1714560505,174.4922,37.50781,124.78125
1714560506,174.4922,37.50781,124.78125
1714560507,174.4922,37.50781,124.78125
1714560508,174.4922,37.50781,124.78125
1714560509,174.4922,37.50781,124.78125
1714560510,174.4922,37.50781,124.78125
1714560511,174.4922,37.50781,124.78125
1714560512,174.4922,37.50781,124.78125
1714560513,174.4922,37.50781,124.78125
1714560514,174.4922,37.50781,124.78125
1714560515,174.4922,37.50781,124.78125
1714560516,174.4922,37.50781,124.78125
1714560517,174.4922,37.50781,124.78125
1714560518,174.4922,37.50781,124.78125
1714560519,174.4961,37.50781,124.78125
1714560520,174.4961,37.50781,124.78125
1714560521,174.4961,37.52734,124.78125
1714560522,174.4961,37.52734,124.78125
1714560523,176.4805,37.52734,124.78125
1714560524,176.4805,37.52734,124.78125
1714560525,176.4805,37.53516,124.78125
1714560526,176.4805,37.53516,124.78125
1714560527,176.5859,37.53516,124.78125
1714560528,176.5859,37.53516,124.78125
1714560529,176.5859,37.53516,124.78125
1714560530,176.5859,37.53516,124.78125
1714560531,176.5859,37.53516,124.78125
1714560532,176.5859,37.53516,124.78125
1714560533,176.5859,37.53516,124.78125
1714560534,174.9219,37.53516,125.03516
1714560535,174.9219,37.53516,125.03516
1714560536,174.9219,46.21094,125.03516
1714560537,174.9219,47.60938,125.28516
1714560538,174.957,37.53906,125.54297
1714560539,174.9922,37.53906,125.54297
1714560540,174.9922,37.53906,125.54297
1714560541,174.9922,37.53906,125.54297
1714560542,174.9922,37.53906,125.80078
1714560543,174.9922,35.46094,125.80078
1714560544,174.9922,35.46094,125.80078
1714560545,174.9922,35.46094,125.80078
1714560546,175.0391,35.46094,125.80078
1714560547,175.0391,35.46094,125.80078
1714560548,175.0391,35.46094,125.80078
1714560549,175.0391,35.46094,125.80078
1714560550,175.0391,35.46094,125.80078
1714560551,175.0391,35.42969,125.80078
1714560552,175.0391,35.42969,125.80078
1714560553,175.0391,35.42969,125.80078
1714560554,175.0391,35.42969,125.80078
1714560555,175.0391,35.42969,125.80078
1714560556,174.9727,35.42969,125.80078
1714560557,174.9727,35.42969,125.80078
1714560558,174.9727,35.42969,125.80078
1714560559,174.9727,41.6875,125.80078
1714560560,175.0156,41.81641,125.80078
1714560561,175.0156,41.94531,125.80078
1714560562,175.0156,41.94531,125.80078
1714560563,175.0156,41.94531,125.80078
1714560564,175.0156,41.94531,125.80078
1714560565,175.0156,41.94531,125.80078
1714560566,175.0156,41.94531,125.80078
1714560567,175.0156,41.94531,125.80078
1714560568,175.0156,41.94531,125.80078
1714560569,177.1445,31.58594,126.15234
1714560570,177.3867,31.58594,126.15234
1714560571,179.9648,31.58984,106.01172
1714560572,180.1289,31.58984,106.01172
1714560573,180.1289,31.58984,106.01172
1714560574,180.1289,24.86328,106.01172
1714560575,180.1289,24.86328,106.01172
1714560576,180.418,24.86328,106.01172
1714560577,180.4219,24.86328,106.01172
1714560578,98.91406,24.86328,106.01172
1714560579,99.25781,24.86328,106.01172
1714560580,99.25781,24.86328,106.01172
1714560581,99.25781,24.86328,106.01172
1714560582,99.25781,24.86328,106.01172
1714560583,99.39062,24.86328,106.01172
1714560584,99.39062,24.86328,106.01172
1714560585,99.39062,24.86328,106.01172
1714560586,99.39062,24.86328,106.01172
1714560587,99.39062,24.86328,106.01172
1714560588,99.39062,24.86328,106.01172
1714560589,99.39062,24.86328,106.01172
1714560590,99.39062,24.86328,106.01172
1714560591,99.39062,24.86328,106.01172
1714560592,99.39062,24.86328,106.01172
1714560593,99.39062,24.86328,106.01172
1714560594,99.39062,24.86328,106.01172
1714560595,99.39062,24.86328,106.01172
1714560596,99.39062,24.86328,106.01172
1714560597,99.39062,24.86328,106.01172
1714560598,99.39453,24.86328,106.01172
1714560599,99.41016,24.86328,106.01172
1714560600,99.41016,24.86328,106.01172
